"id","user_username","alamat","kota","nama_penerima","total","voucher_id","grand_total","harga_jne","cara_jne","kode_jne","tipe_pembayaran","kode_pembayaran","tanggal_create","tanggal_update","status"
"1","mchapman0","849 Sunbrook Hill","District of Columbia","Mary Chapman","800258","4","469157","72126","JNE CTC","PK74 JJXC ZRC6 C8BY UNND JI6X","transfer","USD","2014-01-16 00:00:00","2012-07-07 11:01:39","0"
"2","cgriffin1","7 Bunting Junction","California","Charles Griffin","985168","3","745460","15439","JNE OKE","EE74 5190 0137 6878 5670","paypal","USD","2011-08-27 00:00:00","2014-03-10 03:57:35","0"
"3","sfoster2","047 Warner Pass","South Carolina","Susan Foster","431857","2","489824","61138","JNE OKE","BG47 EPPL 0182 45FZ 7GLL GI","cod","USD","2010-10-15 00:00:00","2015-09-16 17:40:10","1"
"4","gstanley3","1241 Michigan Point","Texas","Gerald Stanley","204516","3","753799","51881","JNE CTC","BH60 YBEG YGA8 NYMO 0M3D XI","cod","USD","2014-04-11 00:00:00","2015-03-14 15:42:06","0"
"5","cmason4","20 Golf View Trail","Iowa","Christopher Mason","721729","2","297270","35481","JNE REG","AT27 9701 9950 1805 3354","paypal","USD","2010-08-07 00:00:00","2012-04-09 16:32:20","0"
"6","lflores5","828 Sheridan Court","Nevada","Lori Flores","182378","4","207054","64623","JNE OKE","FR74 2147 3466 09QT UVED WQB5 L91","transfer","USD","2014-09-13 00:00:00","2011-01-27 23:13:45","0"
"7","rriley6","0 Red Cloud Place","Minnesota","Ryan Riley","624836","3","421355","62217","JNE CTC","FO64 8971 3761 4137 32","transfer","USD","2011-08-14 00:00:00","2011-04-02 21:41:58","1"
"8","abishop7","66699 Veith Court","New York","Aaron Bishop","352205","3","878836","7066","JNE CTCSPS","GI25 GOEV QRXK UEXY AFFS LD5","cod","USD","2010-06-21 00:00:00","2010-01-17 15:55:50","1"
"9","sjohnston8","99 Hanover Road","Minnesota","Steven Johnston","468883","4","699916","32771","JNE OKE","FR08 9221 6822 68QC CB9U CZTG D20","debit","USD","2014-11-02 00:00:00","2010-10-20 14:45:45","0"
"10","msmith9","9870 Almo Junction","California","Mary Smith","358830","4","273827","55230","JNE OKE","FR22 6531 1235 00WC KWAA CYTV K55","transfer","USD","2014-02-11 00:00:00","2012-11-01 15:00:03","0"
"11","cdanielsa","5187 Bayside Pass","Washington","Cynthia Daniels","404362","4","776727","19306","JNE REG","SA80 87RM DB2H 0WYO FQZA Y4WB","cod","USD","2013-11-18 00:00:00","2014-12-09 14:46:01","0"
"12","mmccoyb","631 Jenna Avenue","Ohio","Martha Mccoy","297585","2","979709","35418","JNE CTCSPS","GR23 3051 959E JSAB U2P8 EQN6 X25","transfer","USD","2010-04-27 00:00:00","2010-01-17 15:01:14","1"
"13","arodriguezc","0 Manitowish Alley","Kansas","Andrea Rodriguez","240764","2","587038","31413","JNE OKE","FR04 8305 9769 96KV D78P DTUP R14","cod","USD","2011-04-17 00:00:00","2014-08-11 16:54:06","0"
"14","tcoled","88549 Heath Drive","Delaware","Tina Cole","708859","1","324322","7151","JNE CTC","TR80 5543 7H40 68GL JBJQ 4HEB F0","debit","USD","2013-06-02 00:00:00","2012-05-10 03:25:22","1"
"15","araye","819 Sherman Junction","Ohio","Alan Ray","189165","2","351487","62244","JNE OKE","FR85 8321 3771 67VW WPUU DJKI D41","cod","USD","2013-01-10 00:00:00","2015-07-15 23:44:37","0"
"16","smarshallf","065 Mitchell Court","Georgia","Sarah Marshall","596020","3","403169","56503","JNE CTC","HU33 2581 9950 3300 9028 3221 5921","debit","USD","2011-03-30 00:00:00","2010-05-22 01:42:40","1"
"17","jgeorgeg","771 Oriole Court","Alaska","James George","704306","3","177274","26754","JNE REG","BH70 LWLC P3GC 6GXY AP3C JC","kartu kredit","USD","2010-02-11 00:00:00","2010-05-07 10:47:05","0"
"18","lharrish","64745 Fordem Terrace","California","Lillian Harris","213187","4","265058","45375","JNE REG","ES20 0781 2243 3160 1654 6683","cod","USD","2011-01-16 00:00:00","2010-02-07 21:26:14","0"
"19","dgrayi","5 Fisk Street","California","Diana Gray","354371","2","595166","61969","JNE REG","GL62 7702 5557 3320 09","cod","USD","2012-05-05 00:00:00","2012-10-25 01:46:01","1"
"20","tcarrollj","5741 Forest Alley","Texas","Timothy Carroll","388553","1","943186","22569","JNE CTCSPS","FI17 9218 9686 3569 93","debit","USD","2013-06-13 00:00:00","2014-04-29 20:16:21","0"
"21","bchavezk","47077 Cottonwood Street","California","Brenda Chavez","797159","4","630302","53360","JNE CTCSPS","PL03 2411 2576 1284 7370 8763 5525","kartu kredit","USD","2015-09-24 00:00:00","2013-09-21 11:03:18","0"
"22","rberryl","0052 Ohio Trail","North Carolina","Raymond Berry","675165","4","384381","14977","JNE CTCSPS","BG29 RQMW 6394 69IM ZYRH PJ","cod","USD","2013-07-23 00:00:00","2012-09-25 10:11:33","0"
"23","joliverm","4 Lunder Terrace","Illinois","Jerry Oliver","721512","2","952299","58143","JNE REG","DE54 0990 1602 7425 6964 33","paypal","USD","2012-07-11 00:00:00","2011-05-02 01:30:49","0"
"24","jcoopern","81377 Talisman Park","Florida","Joseph Cooper","585917","3","889717","6948","JNE OKE","RS78 7949 7153 8746 5246 67","paypal","USD","2015-07-06 00:00:00","2010-05-28 22:31:03","0"
"25","jtorreso","353 Oxford Drive","Wisconsin","Jimmy Torres","933160","3","753150","39422","JNE REG","AT23 5578 8852 3206 4896","cod","USD","2013-04-02 00:00:00","2012-01-24 17:36:16","0"
"26","sburnsp","06550 Oneill Court","Ohio","Stephen Burns","789458","2","722578","23415","JNE REG","SA90 02BN YDE7 BVSN 9CEJ ISTS","transfer","USD","2011-11-21 00:00:00","2013-11-29 15:39:46","1"
"27","kwilliamsonq","7 Mallory Terrace","North Carolina","Kathleen Williamson","984167","1","922988","97186","JNE CTC","TN74 7680 7665 2207 3647 4654","kartu kredit","USD","2013-08-24 00:00:00","2015-04-10 16:29:32","0"
"28","hdavisr","586 Tennessee Street","New Mexico","Howard Davis","911529","3","555059","59695","JNE REG","MU79 EULB 3858 2850 9639 0415 995M FI","kartu kredit","USD","2011-05-24 00:00:00","2015-09-01 11:13:47","1"
"29","bpalmers","8 Burrows Junction","New York","Bonnie Palmer","234633","2","665448","23980","JNE REG","BA81 1912 6842 4279 4288","cod","USD","2011-09-15 00:00:00","2010-01-04 22:28:38","1"
"30","asimmonst","13 Haas Road","Arkansas","Ann Simmons","489891","2","541243","41366","JNE REG","EE51 7378 0709 6865 4699","paypal","USD","2015-03-25 00:00:00","2011-09-19 21:03:10","1"
"31","nmendozau","78147 Sunfield Street","District of Columbia","Nicholas Mendoza","928750","2","215391","35087","JNE REG","CH02 8350 8EBP J6SC 1TB7 H","transfer","USD","2011-09-08 00:00:00","2011-02-20 06:01:14","1"
"32","dshawv","853 Express Place","Texas","Diana Shaw","830466","2","558212","19763","JNE CTCSPS","LV49 YDTM ARBG LD6R WFL1 4","cod","USD","2013-06-27 00:00:00","2015-12-11 01:36:52","0"
"33","sharveyw","2864 Hansons Way","Texas","Susan Harvey","950160","4","690909","28378","JNE CTCSPS","MR85 3219 4007 8567 9892 3969 486","debit","USD","2015-11-19 00:00:00","2015-03-18 22:12:46","0"
"34","whallx","13853 Mccormick Pass","Kentucky","Wanda Hall","317559","3","492790","34265","JNE OKE","GI96 HWEE 7Q5I BSE5 IYLI MBE","debit","USD","2012-06-09 00:00:00","2015-12-28 04:37:55","1"
"35","jweavery","8 Summerview Park","Georgia","Jimmy Weaver","178273","3","594438","55259","JNE CTCSPS","LV76 ERHH G3ZB BFAR MP8V X","paypal","USD","2013-03-06 00:00:00","2015-04-13 15:27:32","0"
"36","alopezz","4 Clove Junction","Nevada","Alice Lopez","164914","2","999003","17306","JNE CTC","GR72 4837 2851 HVBQ DWOI WWOH QJD","cod","USD","2012-07-09 00:00:00","2015-04-01 12:53:18","1"
"37","rtaylor10","19308 Charing Cross Plaza","Hawaii","Ralph Taylor","628419","1","658605","83851","JNE REG","BG52 CDTN 4598 68YC TU97 WZ","paypal","USD","2010-09-30 00:00:00","2015-03-15 07:15:05","1"
"38","krivera11","2809 Pleasure Drive","Alabama","Kevin Rivera","712784","4","330558","82862","JNE OKE","BG76 LVUJ 1960 832B T4WK Y0","debit","USD","2011-03-25 00:00:00","2015-01-31 12:04:08","0"
"39","kmills12","3 Pierstorff Way","California","Karen Mills","417559","1","865840","39951","JNE CTC","GL02 6016 2778 6646 57","kartu kredit","USD","2015-05-25 00:00:00","2014-10-13 19:15:10","1"
"40","sgarcia13","660 Lerdahl Plaza","New York","Samuel Garcia","331602","1","719762","50722","JNE REG","AE88 0762 3729 4672 4421 367","paypal","USD","2010-05-26 00:00:00","2015-02-20 15:12:53","0"
"41","rdavis14","2289 Moland Court","Ohio","Rachel Davis","792821","4","756735","89892","JNE CTCSPS","FR36 1899 2110 2619 1MBN DCD3 V94","kartu kredit","USD","2015-07-24 00:00:00","2011-02-22 13:16:20","1"
"42","sking15","46658 Evergreen Plaza","Georgia","Sara King","497310","1","776381","82833","JNE OKE","FR08 1058 4070 528E 2GIF 53S4 T53","debit","USD","2012-10-19 00:00:00","2010-04-26 17:59:10","0"
"43","aholmes16","9413 Buhler Avenue","Louisiana","Annie Holmes","224960","3","551946","46457","JNE CTC","PS16 RJOD 845A QRQU NK1K IVQN ZXMK Z","paypal","USD","2011-01-03 00:00:00","2015-09-02 19:50:25","1"
